ID,question
0,"bonjour,  je m suis trompé de forum pour ma question alors je la repose ici. je pris pour la première fois hier du paroxétine et ce matin c'est une catastrophe. picotement dasn tous le corps annonciateur de sueur froide très très massive et de vomissement. j'en suis à deux crises depuis 5 heure du mat. la cela semble passer mes mes mains reste moites et chaude estce normal pour la première fois merci a tous"
1,est ce que le motilium me soulagera contre les nausées?
2,"mon médecin m'a prescrit adenyl. au 2ème cachet des maux de tête terribles et au 3ème palpitations, sueurs froides, chaleur intense dans la tête, tremblements, fourmillements dans la lèvre supérieure, difficultés à respirer.. dès l'arrêt du médicament tous les symptômes ont disparu. cela est-il déjà arrivé à quelqu'un??"
3,Est-ce qu'il existe une forme adaptée aux enfant de 5ans du Micropakine ?
4,mon  medecin  me soigne  pour  une  rhino  pharingite  et  m'a  prescrit du amoxicilline comme  anti  biotique. Est-ce vraiment pour cette indication?
5,je viens d'apprendre que je suis enceinte..savez-vous si je peux poursuivre le rubozinc ?
6,atrax n'est-il pas dangereux au long terme ?
7,je suis sous mercilon. J'ai des nausées et des saignements ?
8,"L'atenolol, c'est quoi ?"
9,"je prend trinordiol et à la fin de ma première plaquette j'ai eu ma première fois ac mn copain. la pilule est donc bien efficace dès le debut ? j'ai des douleur dans la poitrine, j'ai l'impression qu'ils ont un peu grossi ossi de plus, j'ai mal o bas du ventr,e dois je minkiété ou c simplemen, la periode dadaptation ??"
10,laroxyl à doses faibles pour le stress ?
11,mon psy me dit de prendre 50mg de sertraline la matin et 50 mg de sertraline le soir. peut on prendre 100mg soit le matin ou a midi?
12,"je suis sous antiobiotique depuis bientot une semaine et je me suis chopée je ne sais quoi à ma nénétte, ca gratte,c'est superficiel mais ca démenge à un point, est ce lié à l'antibiotique?"
13,Quel vaccin contre le cancer du col de l'uterus ?
14,épilepsie et havlane ?
15,vaccins dtpe et hépatire b sont ils possible pendant la grossesse?
16,je viens d'être mis sous androtardyl depuis 1 semaine. je souhaitais savoir au bout de combien d'injections le produit commençait à faire ses effets ? et au bout de combien de jours après chaque injection ses effets se faisaient sentir ?
17,"Comment traiter une dishydrose, si le  Dermoval et une préparation ( sulfate de cuivre 10mg/10L d'eau en bain ) et dermalibour n’ont pas marché ?"
