ID,intention
0,28
1,31
2,28
3,44
4,31
5,44
6,48
7,28
8,22
9,23
10,31
11,42
12,28
13,32
14,28
15,44
16,26
17,0
18,28
19,48
20,34
21,14
22,7
23,28
24,37
25,44
26,23
27,42
28,4
29,42
30,44
31,31
32,28
33,28
34,11
35,24
36,28
37,31
38,11
39,31
40,32
41,48
42,22
43,48
44,0
45,24
46,14
47,4
48,31
49,22
50,23
51,48
52,23
53,31
54,40
55,23
56,46
57,4
58,48
59,30
60,28
61,37
62,42
63,23
64,8
65,38
66,23
67,28
68,42
69,28
70,28
71,44
72,28
73,28
74,28
75,46
76,28
77,32
78,13
79,11
80,0
81,32
82,0
83,21
84,14
85,28
86,32
87,15
88,44
89,31
90,27
91,5
92,22
93,32
94,28
95,34
96,28
97,28
98,31
99,34
100,28
101,28
102,42
103,28
104,42
105,34
106,44
107,0
108,28
109,28
110,48
111,11
112,33
113,13
114,6
115,0
116,38
117,8
118,28
119,44
120,25
121,28
122,31
123,31
124,44
125,48
126,23
127,0
128,22
129,13
130,14
131,48
132,28
133,14
134,5
135,31
136,22
137,1
138,28
139,37
140,0
141,28
142,26
143,22
144,24
145,28
146,22
147,31
148,44
149,31
150,5
151,15
152,50
153,4
154,26
155,14
156,21
157,28
158,34
159,28
160,28
161,22
162,43
163,32
164,28
165,22
166,22
167,33
168,22
169,44
170,32
171,14
172,42
173,28
174,44
175,27
176,28
177,26
178,22
179,1
180,37
181,28
182,44
183,45
184,32
185,43
186,28
187,38
188,28
189,22
190,8
191,26
192,34
193,28
194,28
195,48
196,22
197,0
198,14
199,45
200,24
201,28
202,0
203,5
204,42
205,8
206,13
207,28
208,39
209,28
210,43
211,50
212,28
213,31
214,15
215,28
216,48
217,29
218,28
219,34
220,28
221,4
222,0
223,19
224,32
225,28
226,31
227,44
228,34
229,5
230,28
231,32
232,28
233,28
234,38
235,28
236,37
237,11
238,45
239,28
240,28
241,37
242,13
243,12
244,47
245,48
246,22
247,48
248,33
249,20
250,28
251,31
252,31
253,44
254,28
255,28
256,4
257,28
258,32
259,45
260,28
261,24
262,31
263,44
264,28
265,22
266,39
267,34
268,31
269,42
270,32
271,0
272,31
273,48
274,29
275,34
276,28
277,22
278,42
279,22
280,28
281,34
282,8
283,44
284,33
285,11
286,31
287,44
288,24
289,50
290,31
291,44
292,28
293,44
294,19
295,9
296,32
297,27
298,48
299,21
300,8
301,28
302,44
303,42
304,28
305,28
306,11
307,5
308,32
309,28
310,22
311,10
312,47
313,28
314,11
315,5
316,28
317,44
318,27
319,34
320,13
321,31
322,44
323,44
324,34
325,48
326,37
327,44
